reward,viol
-335.00245103211324,24
-272.6130145583646,15
-349.3965011130661,24
-376.7802038889181,26
-254.64795582590514,14
-359.1711301327315,25
-554.6041308314809,53
-368.95455473573514,30
-300.98842537440476,21
-451.5088595239672,37
-307.5294723888033,20
-272.4458696393169,16
-279.7118294411947,18
-383.5501404533117,29
-347.39074933376276,25
-443.54171992916275,34
-275.5469484315143,15
-385.4171549070782,28
-393.93835946211533,29
-336.785232244621,25
-329.3955286404192,23
-328.43449274499,23
-345.0949799679028,25
-350.68981932553277,25
-517.2720239971031,44
-334.84981190092856,24
-268.2032388255127,15
-252.60896509981154,14
-297.69746316734904,19
-290.72740989188594,18
-428.1056657908581,34
-243.0609737094985,13
-329.40256910627613,20
-318.23147208633316,22
-330.1127836060279,22
-488.91129563925017,42
-394.7001734507867,32
-394.323062790659,31
-372.533024010002,26
-410.1765407474679,35
-444.1040581932853,39
-312.3807260165655,20
-256.502331003853,13
-340.9181405288133,27
-291.3888800323141,18
-250.3563594891834,12
-553.0605714669879,49
-220.20356267548635,9
-315.4065989726338,22
-394.2480943833072,32
-399.82303141167847,30
-298.9480005021833,18
-439.6869722234137,35
-304.0261284751405,21
-324.9121352836652,21
-364.8306664634058,28
-418.2671039363397,34
-351.3620184011416,26
-349.4863102685069,25
-329.89553814104363,23
-317.8734265479011,21
-356.1561147782873,24
-402.6700075093531,31
-370.1409216018594,27
-324.0574855164172,23
-292.0283141690093,18
-269.4912828935727,14
-268.2866792817707,14
-212.53084754302446,7
-326.1574772347253,23
-205.1465912806428,6
-317.7631254647955,21
-264.78302332841,14
-360.77273946466653,23
-201.79139199358735,5
-383.93597099718403,28
-278.3474722223347,14
-300.49260899750226,20
-221.56156842159098,10
-313.72553669779506,18
-222.28571978300855,7
-219.59566169253313,7
-440.1819017097282,35
-416.66652711991526,32
-195.9709341236414,6
-185.06352264138943,3
-335.40392298531975,23
-421.2212498589887,33
-273.6663104215593,17
-372.4632952828267,28
-309.6154626572519,17
-516.0386398651578,46
-196.7160242995098,5
-261.16237775847543,15
-168.86556644988448,2
-287.27960238477954,16
-325.3626348819472,22
-354.589470671214,25
-410.4640675682674,34
-335.2110717594348,21
-313.4276030225869,20
-361.8418620205162,27
-180.41638022972134,5
-170.3164054800832,1
-397.91834146150245,31
-260.6538695778037,12
-520.8572759721545,44
-235.69649593923432,9
-212.89641130771693,6
-209.04677541360056,9
-203.6137008699242,8
-376.8008608478537,26
-183.583907450248,1
-272.0974146546033,15
-233.41118208382642,8
-268.486821224751,12
-192.61078826477097,5
-287.2606675338435,15
-272.5348169548311,12
-350.24051447722735,25
-286.9194969067494,18
-191.37368352622536,3
-313.1887927082255,18
-176.6132366535229,3
-345.9537099906731,24
-280.56853160044284,13
-242.9123736509185,8
-351.43750883531925,25
-220.09111339268773,5
-356.7571629653307,24
-218.86152453838602,8
-198.53326369575612,5
-154.93324095178974,2
-286.7573153471107,16
-213.01062005220862,7
-272.94861640828833,14
-288.00245705677816,16
-265.5917097064064,13
-229.4635582405894,10
-251.0962771600877,12
-249.2380349931509,11
-212.73056280681294,6
-217.65038267435597,7
